KN:Accuracy,40.83333333333333
KN:Precision,43.33333333333333
KN:Recall,40.83333333333333
KN:F1,39.30555555555555
-----------------,-----------------
DTree:Accuracy,39.99999999999999
DTree:Precision,34.99999999999999
DTree:Recall,39.99999999999999
DTree:F1,36.77777777777778
-----------------,-----------------
GaussianNB:Accuracy,44.166666666666664
GaussianNB:Precision,42.222222222222214
GaussianNB:Recall,44.166666666666664
GaussianNB:F1,40.888888888888886
-----------------,-----------------
SVC:Accuracy,45.83333333333333
SVC:Precision,47.08333333333333
SVC:Recall,45.83333333333333
SVC:F1,43.61111111111111
-----------------,-----------------
RandomForestClassifier:Accuracy,43.33333333333333
RandomForestClassifier:Precision,45.277777777777786
RandomForestClassifier:Recall,43.33333333333333
RandomForestClassifier:F1,41.83333333333333
-----------------,-----------------
BaggingClassifier:Accuracy,52.5
BaggingClassifier:Precision,56.666666666666664
BaggingClassifier:Recall,52.5
BaggingClassifier:F1,52.333333333333336
-----------------,-----------------
AdaBoostClassifier:Accuracy,59.16666666666665
AdaBoostClassifier:Precision,61.52777777777777
AdaBoostClassifier:Recall,59.16666666666665
AdaBoostClassifier:F1,57.83333333333333
-----------------,-----------------
GradientBoostingClassifier:Accuracy,39.999999999999986
GradientBoostingClassifier:Precision,41.66666666666666
GradientBoostingClassifier:Recall,39.999999999999986
GradientBoostingClassifier:F1,39.0
-----------------,-----------------
MLPClassifier:Accuracy,46.666666666666664
MLPClassifier:Precision,47.77777777777778
MLPClassifier:Recall,46.666666666666664
MLPClassifier:F1,44.99999999999999
-----------------,-----------------
LogisticRegression:Accuracy,43.33333333333333
LogisticRegression:Precision,44.44444444444444
LogisticRegression:Recall,43.33333333333333
LogisticRegression:F1,41.666666666666664
-----------------,-----------------
