KN:Accuracy,67.48768472906404
KN:Precision,61.40204722536056
KN:Recall,67.48768472906404
KN:F1,61.00011576626038
-----------------,-----------------
DTree:Accuracy,66.4655172413793
DTree:Precision,66.36842185933935
DTree:Recall,66.4655172413793
DTree:F1,66.07682073725542
-----------------,-----------------
GaussianNB:Accuracy,72.80788177339902
GaussianNB:Precision,72.94039439732336
GaussianNB:Recall,72.80788177339902
GaussianNB:F1,72.19440959894845
-----------------,-----------------
SVC:Accuracy,52.179802955665025
SVC:Precision,60.272128647422235
SVC:Recall,52.179802955665025
SVC:F1,54.04653226658439
-----------------,-----------------
RandomForestClassifier:Accuracy,73.81773399014779
RandomForestClassifier:Precision,72.75049318557028
RandomForestClassifier:Recall,73.81773399014779
RandomForestClassifier:F1,71.8367723124814
-----------------,-----------------
BaggingClassifier:Accuracy,72.77093596059113
BaggingClassifier:Precision,71.59982464704568
BaggingClassifier:Recall,72.77093596059113
BaggingClassifier:F1,70.95879631681025
-----------------,-----------------
AdaBoostClassifier:Accuracy,70.24630541871922
AdaBoostClassifier:Precision,69.72056029035573
AdaBoostClassifier:Recall,70.24630541871922
AdaBoostClassifier:F1,68.71898360580731
-----------------,-----------------
GradientBoostingClassifier:Accuracy,71.7487684729064
GradientBoostingClassifier:Precision,70.93697027966678
GradientBoostingClassifier:Recall,71.7487684729064
GradientBoostingClassifier:F1,69.93334296848126
-----------------,-----------------
MLPClassifier:Accuracy,71.77339901477833
MLPClassifier:Precision,71.0960265787852
MLPClassifier:Recall,71.77339901477833
MLPClassifier:F1,70.17690192914479
-----------------,-----------------
LogisticRegression:Accuracy,73.0911330049261
LogisticRegression:Precision,74.05781971651535
LogisticRegression:Recall,73.0911330049261
LogisticRegression:F1,70.12687172142392
-----------------,-----------------
